,year,month,label,sentence
88497,2021,3,남성,"장남만 책임지고 희생하고 이런 시대가 점점 저물어가고 있는데도, 아직도 유교적 가치를 신봉하는 사람들이 많은게 신기해."
88582,2021,3,남성,다들 '서승환' 귀여우면 개추 좀 눌러볼까?
88608,2021,3,기타 혐오,PC충들 없애는 방법
88611,2021,3,기타 혐오,pc주장하는새끼들 패고싶어짐
88683,2021,3,여성/가족,"'너, 너같은 음란한 여자에게 오빠를 빼앗길 성싶냐~~~!!!'"
88710,2021,3,인종/국적,맨하튼 지하철 인종차별 범죄
88714,2021,3,인종/국적,아시안이 흑인 때리거나 백인이 흑인 때리면
88745,2021,3,연령,마무리: 학기랑 취준 병행하는 애들도 있고 취준이 첨인 애들도 있을거야. 특히 코로나 이후로 취준 시장이 훨씬 힘들어졌어 (난 내가 직접 전후 다 겪어봐서 앎). 19년도만해도 지금보다 훨씬 쉬웠다. 그러니까 꼰대새끼들이 과거에 쉬울때 취직해놓고 꼰대 소리하는거 개씹무시해도 싸다.
88817,2021,3,여성/가족,반pc 반페미 운동도 나왔으면 좋겠다
88843,2021,3,여성/가족,n번방때 핀트나간거 지적하면 피해자에 대한 2차가해라 몰아가던 페미가 맞나?
88862,2021,3,인종/국적,(중국발)중금속 발암먼지로 부르는게 맞음 중금속 맞고 발암물질도 맞거든 두고봐 앞으로 수년이면 이 발암먼지로 인한 사망자 줄줄이 나올거다
88866,2021,3,인종/국적,짱깨발 발암 중금속먼지 실화냐?
88888,2021,3,여성/가족,그냥 페미스러운 글을 작작 쓰라는 소리다
89019,2021,3,기타 혐오,학교 개가튼놈들아
89086,2021,3,여성/가족,배로나...ㄹㅇ 불효녀
89092,2021,3,여성/가족,연세대 브이로그보면 죄다 인싸들이라 수험생들한테 환상을 심어주는 것 같음
89100,2021,3,인종/국적,중국이 미개한게 아니면 뭐임?
89107,2021,3,인종/국적,중국은 망해 마땅한 미개한 저질국가 맞음
89207,2021,3,연령,21세기 꼰대;;;
89331,2021,3,기타 혐오,연대씹쌔끼들아
89333,2021,3,기타 혐오,기레기들 어디 물어뜯을거 없나 찾다가
89334,2021,3,인종/국적,어 외국인 비하? 거기에 명문대? 심지어 의대생?
89336,2021,3,기타 혐오,요요 기레기 새끼들 씨발 마인드가 딱 보임
89337,2021,3,인종/국적,아 물론 난민좌도 쓰레기인데 저거 제보하는 새끼들도 똑같이 좆같음 그냥 ㅋㅋㅋ
89342,2021,3,인종/국적,중국 동북공정이 너무 심해지는듯
89345,2021,3,기타 혐오,과도한 pc충들은 걸러라
89346,2021,3,기타 혐오,남녀 막론하고 주변에 pc충들 있으면 반드시 손절하길
89351,2021,3,여성/가족,못생긴 여자가 여권(女權)운동하는 것을 보면
89355,2021,3,남성,"못생긴 남자가 윤리, 도덕 부르짖으며"
89356,2021,3,기타 혐오,퇴폐문화 척결운동하는 것을 보면
89360,2021,3,여성/가족,못생긴 여자들과 못생긴 남자들을 한데 모아
89373,2021,3,여성/가족,페미들이 남자가 여자한테 섹드립하는거 하나하나 다 태클걸고 조지려하니까 어쩔 수 없이 ‘남자가 했으면 반응어땠겠냐’ 이러는거같음 ㅋㅋㅋㅋㅋ
89383,2021,3,인종/국적,조선구마사 작가진들 ㄹㅇ 조선족들 아니냐??
89391,2021,3,인종/국적,조선족 거리 1번지가 있는 곳 이름이 목단강이라고 함
89401,2021,3,여성/가족,성희롱한 여자 연예인들 티비 안나왔으면 좋겠음
89429,2021,3,성소수자,항문기에 무슨 결핍있었냐..?
89491,2021,3,남성,아 진짜 소변충들 그만 깝쳐
89505,2021,3,여성/가족,"학식-돈육김치찌개(한식, ￦4,300)"
89515,2021,3,기타 혐오,여기 에타 찐따들이 학창시절 때 성적 하나로 사랑받고 우월감 느끼고 남들 깔보고 자존감 형성한 애들이라 그렇지 현실에서는 인성 하자 없으면 그냥 다 잘 어울린다 ㅋㅋ
89517,2021,3,기타 혐오,현실에서 그런 티 조금이라도 내는 순간 에타에서 일그러진 우월감 표출해대는 찐따인 거 바로 들킴
89537,2021,3,남성,윤지선 한남충 논문 사건 관련 청원
89562,2021,3,인종/국적,진짜 지들이 인종차별 당해봐야
89567,2021,3,인종/국적,우리가 외국인 차별한거에는 왜이렇게 관대해
89570,2021,3,인종/국적,기사뜬 애는 불쌍하고 한국까지 와서 난민소리 들은 교수님은 안불쌍함?
89594,2021,3,기타 혐오,댓1: 연세대수준ㅉㅉ(고졸)
89596,2021,3,기타 혐오,"댓3: 적폐,,, 청산,,, 하라!!!(중졸)"
89628,2021,3,성소수자,'이해할수 없는 수준으로 가르쳐 놓고 왜 퀴즈에 내나?' 와 같은 황당한 수준의 메일(물론 이렇게까지 예의를 밥말아먹은 말투는 아니었지만)을 받고 나면 도대체 뭐라고 답장을 해줘야 할지도 모르겠습니다.
89632,2021,3,남성,"n번방 같은 사건 분석한다고 한국 남성들을 '한남유충', '한남충' 같은 단어로 정의해놓고 남혐이 아니라는 생각은 어떻게 하는걸까"
89654,2021,3,기타 혐오,응 의사 다 망하게 그정당 찍을거야
89832,2021,3,기타 혐오,의사는 못됐지만 확실한건 의무새들 자존감은 치료가 필요할거같네
89847,2021,3,여성/가족,페미vs촉법소년
89857,2021,3,연령,밥먹고 에타킨 틀딱
89860,2021,3,기타 혐오,이때다 해서 의대생 까고 싶던 애들 나오는 것도 팩트임 ㅋㅋㅋㅋ
89904,2021,3,인종/국적,"""명문대 의대생, 모두가 들을 수 있는 수업에서 외국인 교수보고 '쟤 난민이냐' 발언..."""
89940,2021,3,여성/가족,"인싸들 실실 쪼개면서 '야 XX아 멋있다!! 재밌어졌네 이새끼' 시전, 신난 의대생 더 어그로 끔 여자인싸들이 웃는걸 보자 기분 더 좋아짐"
89941,2021,3,여성/가족,재미없어진 인싸들 다시 의대생 버리고 술마시러가고 이제 의대생만 남음 뒤늦게 정신이 들어서 에타 드가보니 이미 난리남...
90016,2021,3,여성/가족,젠틀하고 섹시한 중년
90070,2021,3,여성/가족,난 남자고 페미도 아니고 페미를 극혐 하는 사람도 아니고 그냥 세상 살아가면서 다른 재밌는 일들에 관심 가지느라 이런거에는 크게 별로 관심을 안 가지는 사람인데... 이번 보겸 사건은 좀 아닌거 같지 않아? 난 그냥 좀 충격인게 한국의 교육 관련 기관들이 너무 무책임하단 걸 보고 놀랐어... 대학이랑 대학 관련 기관은 정말 초중고와는 다르게 좀더 전문적이고 체계적으로 돌아갈줄 알았는데 개뿔 진짜 ㅈ도 없다는걸 느끼게 됐다... 진짜 한국 교육관련 단체들에 너무 실망을 느꼈고 이번 사건은 뭐 페미고 말고를 떠나서 좀 아니지 않아? 난 뭔가 이런 썩은 단체들이 검증해주는 한국대학에 다닌다는 사실에 내가 더 수치스럽네... 이거 솔직히 논문 내려하는거 아니야?
90079,2021,3,남성,그 당시 '잠재적 n번방 가입자' 취급받던 남자들이 일반화하지 말라고 할 땐 가입 회원수 들먹이면서 추잡스럽게 굴던 사람들 다 어디감? ㅋㅋㅋ
90119,2021,3,기타 혐오,"집구석에 놀고 먹는 장애인 아빠도, 치매걸려서 팬티에 똥 지리는 할아버지도, 우울증 걸려서 나한테 울고 불고 난리치는 할머니도 그냥 다 싫다"
90194,2021,3,기타 혐오,너희들 생각보다 전적대 그렇게 지잡대 아님
90243,2021,3,연령,주기적으로 똑같은 내용 말투 패턴으로 싸우는데 이 나이 먹고 왜 이러는거야 대체...ㅋㅋㅋ
90250,2021,3,인종/국적,조선징 특징
90276,2021,3,여성/가족,한녀와 과연 연애해도 괜찮은걸까?
90277,2021,3,여성/가족,"처음만난 여자가 조금이라도 남성 혐오적인 뉘앙스의 말을하면 마음속에는 이미 빨간불이 켜진다...그 여자 어땠냐고 묻는 친구에게 ""그냥 한녀야""라는 말로 얼버무리면서 뭔가 잘못된 것 같은 기분이 든다. '한녀'는 모든 한국 여성을 싸잡아 조롱하는게 아니라 여성주의, 극단적 페미니스트를 비판의식없이 그대로답습하는 습관을 꼬집는 말인데, 그런 사람들이 한국에 너무 많다 보니 '한녀'와 '한국 여자'사이의 경계가 조금씩 희미해졌다. 우리가 원하는 건 ‘한녀 문화’를 캔슬하는 것이지, 한국 여자를 캔슬하는 것이 아니므로. 어쩌면 가장 친밀한 관계 맺기 방식인 연애야말로 한녀와의 투쟁 최전선이 될 수도 있다."
90279,2021,3,여성/가족,"혹자는 그렇게 한녀가 싫으면 ‘한녀 같지 않은’ 여자를 골라 연애하라고 말한다. 그러면 많은 남성이 자조적으로 답한다. 남성 혐오 이슈에 대해 공감하는 여자를 만나면 썸 타는 게 아니라 동지애가 생긴다고 말이다. 설렘이 차지해야 할 자리를 분노가 대신하고, 그러다 보니 상대에 대해 이성적으로 끌리지 않는 경우도 많다. 애초에 “한녀가 아닌 여자를 만나라” 혹은 “외국인을 만나라”라는 건 미봉책일 뿐이다. 좋아하는 감정은 잘 모르는 사람을 더 알고 싶고 궁금해하는 과정에서 시작되며, 관계라는 건 서로의 세계관 속에서 함께 헤매며 끊임없이 부딪히는 과정이니까 말이다. 사랑이란 이름으로 극복하는 것이 아니다. 일방적으로 타협하는 것도 아니다. 사랑한다는 건 내 세계를 상대방과 나누는 일이고, 그 과정을 우리는 연애라 부른다."
90283,2021,3,여성/가족,페미니즘이 욕을 먹는 이유는 자정작용이 없기때문임
90284,2021,3,인종/국적,"모든 중국인이 잘못을 하는건 아니지만, 개중엔 좋은 중국인도 있겠지만"
90285,2021,3,인종/국적,적어도 다른 집단과 비교해서 많은 비율 + 많은 수의 중국인이 민폐끼치는 짓을 하면
90286,2021,3,인종/국적,중국인이란 집단은 욕을 먹음. 집단화 하지말라? 그런 이상주의적인 말은 이상속에서나 하는거임
90291,2021,3,여성/가족,더군다나 페미니즘이 더 필요한 대상은 30대이상 여성 & 30대이상 남성임에도 불구하고 결과적으로 페미니즘에 몰두하는건
90293,2021,3,여성/가족,문제는 자칭 페미니스트들이 이런거를 생각을 한다? 안하는거임 페미니즘 스스로 왜 사람들이 페미니즘을 거부하는지를 알고
90295,2021,3,여성/가족,자기들 끼리 너의 사상도 맞아~ 이러면 걍 페미니즘은 외부자에게 배척당할 수밖에 없는거지
90296,2021,3,여성/가족,소위 래디컬 페미가 하는 말투봐봐 그거보면 일베나 다를바 없음 오히려 일베보다 더 심함 ㅈㄱ해? 이거 고인모독이야
90297,2021,3,여성/가족,너희가 그런 사람들로 받아들여지고 싶지않으면 그런사람들을 욕해 난 그런 페미니즘을 싫어한다고 하고 그런사람들하고 싸워
90299,2021,3,여성/가족,"페미니즘은 '여(여자)성주의'다 그 속엔 여성인권 향상도, 여성의 권력화도, 여성의 남성에 대한 대립이란 관념을 다담고있는거야"
90301,2021,3,여성/가족,"페미니즘이 어떤건지, 왜 욕먹는지, 나는 어떤 페미니즘을 해야하고 페미니즘을 한다면 어떻게 해야되는지"
90303,2021,3,여성/가족,"20대 남성의 페미니즘 혐오는 당연한거야, 그리고 그걸 이해못하는건 페미니즘을 모르는거만큼 무식한거고"
90305,2021,3,여성/가족,그건 자칭 페미니스트들이 함께 해결해야할 문제야 본인의 사상을 정당화시키려면 그걸 알아둬
90308,2021,3,인종/국적,"그럼 그게 양성평등주의/이퀄리즘이지 왜 굳이 ‘페미니즘’이냐 하는 사람들도 있을 건데, 인종에 의한 어떠한 차별도 없어야 한다는 최근의 BLM 운동이 “all lives matter”가 아닌 “black lives matter”인 이유가 있듯이, 뿌리깊은 역사적 차별을 모두 고려한 네이밍이 맞다고 생각해. all lives matter를 외치는 사람들은 외려 그 흑인인권운동에 반발하는 백인들이었잖아."
90309,2021,3,여성/가족,"솔직히 탈코운동에 대해선 난 잘 모르겠어. 화장이나 머리는 내가 하고 싶으면 하는 거고 기르고 싶으면 기르는 거라고 생각해서 굳이 ‘탈코에 참여하지 않는 여성들’을 ‘흉자’와 같은 비하성 용어를 사용하면서 까내리고 비웃는 사람들을 이해하지 못하겠거든. 한남이라는 용어도 왠지 사람을 싸잡아 어떤 꼬리표를 붙이는 것 같아서 좋아하지 않고. 미러링이라는 것에도 동의하지 않아. 그건 더이상 여성의 권리를 위한 목소리가 아닌, 상대(남성)를 혐오하는 영역에 진입하는 거라고 생각해서."
90310,2021,3,여성/가족,"여튼 나는 여자로서 밤에 혼자 길을 걸을 때 누가 따라오지 않을까 불안해하지 않고 싶고, 직장에서 남성 동료들과 동일한 직무를 했을 때 임금의 격차가 존재하지 않았으면 하고, 출산 후 육아휴직을 할 때 눈치를 안 보고 싶고, 사회에서 “너는 여자니까 조신하게~” “여자는 적당한 때 시집가서 애를 낳아야~” 와 같은 말들을 듣지 않고 싶거든. 그리고 그 모든 게 이루어지기 위해서는 여성의 권리가 보호되어야 한다고 보기 때문에 나는 스스로를 페미니스트라고 생각해."
90319,2021,3,지역,신촌 돈이면 돼지
90456,2021,3,여성/가족,연대에도 페미가 있구나
90466,2021,3,여성/가족,과연 페미니즘이 성평등주의인가?
90469,2021,3,여성/가족,이걸 보고도 페미니즘을 여성주의가 아니라고 할 수 있을까?
90492,2021,3,성소수자,근데 여고생 짧은 교복이 섹시하다느니 가임기 여성이라느니 2차성징 끝났는데 성적매력 느끼는게 자연스럽단 댓글에 추천이 20개씩 박히고 징그럽다 징그러워
90495,2021,3,인종/국적,"그래도 새삼, 나름 세계를 선도한다는ㅋㅋ 미국에서 아직도 이런 비상식적인 일이 비일비재하다는게 놀랍고 역겹다. 미국 ""대중""문화의 산물 빌보드에서 일어난 일이니."
90693,2021,3,성소수자,남자 성소수자게시판 가봤는데 줌으로 얼굴보고 에타에다가 귀요미들 많다고 단체돌림하고싶다 ㅇㅈㄹ하더라
90698,2021,3,남성,어딜 가든 극소수의 또라이들은 존재하는데 왜 유독 몰카만 이성 마비 되어서 한남 탓 하는 거야
90699,2021,3,기타 혐오,범죄를 저지른 극소수의 또라이들만 욕해야지
90761,2021,3,성소수자,https://archive.org/
90762,2021,3,성소수자,두번째는 Internet Archive입니다.
90810,2021,3,지역,오늘도 어김없이 나오는 마빈천
90875,2021,3,연령,수메르 급식충과 아버지의 대화
90903,2021,3,여성/가족,아 진짜 명상 골때리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 헬스남 노래녀 엄마녀 알바녀 다 나오네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
90921,2021,3,여성/가족,"특히 처음에 바벨 뽑고 난 후 한번 잡고 가고, 하강시 흉추 열면서 찌찌 마중 나가고 고런거."
