0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
연세,발정,안달,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스프레이,미친년,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오후,시경,사주,복채,안내,직장인,남자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최근,골칫거리,중동,출신,학교,유학생,영업,시간,가게,돼지고기,지옥,발언,손님,불쾌감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정상적,장사,기대,기대,영업,시작,시간,이전,유학생,가게,방식,영업,방해,시작,화가,머리,이슬람,유학생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
며칠,연세,슬람,학우,설움,돼지고기,이슬람,문전,박대,기사,전의,중동,유학생,단과,대학,한국,학생,학교,깃발,무지개,깃발,종교,자유,존중,인종,차별,발언,사죄,가게,피켓,시위,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의도,논란,중동,유학생,옹호,이슬람,식습관,표현,이슬람,이슬람,인종,차별,언론,플레이,주장,비난,가중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카메라,얼굴,여대생,얼굴,홍조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여자,알바,생이,동네,뷰티,미녀,몸매,처녀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전자,동양,유래,중국,시대,바위,의미,바위,한자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적극적,차별,해소,정책,균등,교육,권리,헌법,보장,근로,권리,헌법,보장,경제력,남용,방지,국가적,규제,경제,민주화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,소위,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소위,소수,이용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주의자,절대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아래,시판,주의자,자유,다양성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속담,뱁새,송충이,학교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,여대,약대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,이익,핑계,대면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,시기,실질적,인권,의식,고취,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전과자,인권,소수자,위원회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
친구,용어,배경,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이야기,폐지,코로나,운동권,멸망,잔존,세력,사회,학생회,주요,요직,차지,프레임,이상,유효,본의,멸망,후학,양성,사회,대의,친구,대도,현직,총학생회장,후보,시절,선거,운동권,그때,선관위,이슈,기억,기억,현직,총학생회장,메이트,스위치,명맥,연속,정권,창출,학생,사회,작년,기획실장,담당,,,,,,,,,,,,,,,
결론,운동권,지지,모순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,마라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,인권,시기,시기,차별,시기,시기,이익,가면,이용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학생회,고인물,출신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코로나,학교,코로나,세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,정의,반대,의견,눈물,파렴치,프레임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운동권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대생,교육,퀴즈,옹호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,위원회,학생,회비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,인권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소위,학내,학생,소수자,차별,인권,침해,대응,안건,지에,학생,기구,근본,적인,목적,학생,봉사,학생,기구,여타,목적,수단화,자신,사회,운동,단체,활동,학생,기구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소위,학내,학생,수자,인권,의식,고취,사업,진행,인권,해석,방향,현실,평등,페미니즘,수단,소위,인권,의식,고취,사업,합의,의식,단체,설립,요청,의식,만일,후자,학생,기구,학생,강제,자신,주입,단체,허가,,,,,,,,,,,,,,,,,,,,,,,,,
가안,내용,여의,지지자,자신,이념,강요,당연시,반대,비판,여혐,여의,민의,통제,거부,순간,자치권,구호,단체,반대,페미니즘,반대,소수,자인,권위,원회,반대,소수자,탄압,인권,반대,프레임,일방적,사상,독재,,,,,,,,,,,,,,,,,,,,,,,,,,,
소수자,위원회,부활,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
