0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
이상,인생,복구,가능,꼰대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
짐승,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미디어,사회,변동,호불호,교수님,내용,미디어,사회,변동,관계,미디어,사회,교수님,학생,참여도,유도,주심,교수님,인터넷,감성,교수님,틀니,압수,유머,코드,학점,프로그래밍,수업,,,,,,,,,,,,,
학점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무덤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시험,준비,수험,중반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서열,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방역,실패,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코로나,노인,성공,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이하,코로나,중증,사망,병상,부족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면역력,노인,전체,희생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노인,평소,몸뚱이,백신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목숨,유지,모두,희생,모름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리나라,무의식,나이,희생,노인,공경,뼛속,나라,난리,모두,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불편,평소,우리나라,도덕적,프레임,교육,정치인,노인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노인,국회의원,정부,관료,공무원,절대,공무원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
표가,절대,다수,노인,노인,희생,파렴치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육,권리,축소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
