,noun
0,정신병
1,응원
2,사람
3,정신병
4,튜브
5,브이
6,로그
7,식욕
8,수준
9,드립
10,삼성
11,해체
12,사회
13,외모
14,숫자
15,집착
16,개도
17,국일
18,쓸모
19,기형적
20,권력
21,세대
22,갈등
23,인구수
24,기형적
25,구조
26,정권
27,결탁
28,정치
29,경제적
30,순식간
31,기득
32,세력
33,한반도
34,사상
35,보수적
36,진보
37,아파트
38,유리
39,천장
40,사회
41,유동성
42,확보
43,조선인
44,한마리
45,세대
46,갈등
47,미들
48,지지
49,성적
50,매력
51,성적
52,매력
53,성인
54,소아
55,성애
56,드립
57,정신
58,돼지
59,회사
60,출격
61,주작
62,가난
63,스프
64,이유
65,여자
66,인격체
67,여자
68,약자
69,보호
70,퍼스트
71,자가
72,모순
73,대표적
74,양남
75,여자
76,탈출
77,시절
78,여자
79,투표권
80,여자
81,남편
82,순종
83,상업
84,광고
85,시절
86,여자
87,피난
88,허용
89,전통적
90,관습
91,여자
92,임신
93,머신
94,소련군
95,평등
96,가치
97,여군
98,정작
99,부상
100,한국
101,의료
102,보험
103,스타
104,폭풍
105,로드
106,한국
107,국적
108,장애물
109,혜택
110,영웅
111,반대
112,머저리
113,행동
114,정이
115,간호
116,무사
117,노인
118,혐오
119,한남
120,남성
121,당제
122,남자
123,주의
124,이젠
125,창작물
126,동북
127,공정
128,인공
129,자궁
130,저출산
131,원숭이
132,두창
133,전파
134,원인
135,동성애자
136,여자
137,가슴
138,말자
139,나도
140,한때
141,진리
142,열망
143,근본
144,적인
145,학문
146,순수
147,학문
148,인간
149,공학
150,행정
151,주식
152,대체
153,나이
154,여자
155,한남
156,충의
157,태학
158,논문
159,나라
160,대체
161,멸망
162,수통
163,멸망
164,주변
165,사람
166,나라
167,건설
168,기여도
169,난민
170,동생
171,부산
172,여성
173,병원
174,경상도
175,부산
176,토박이
177,경기도
178,한데
179,당시
180,엄마
181,친구
182,사투리
183,부산
184,사투리
185,학습
186,사투리
187,동생
188,웬일
189,부모
190,사투리
191,서울
192,출신
193,질문
194,친구
195,사투리
196,이유
197,근자
198,감이
199,서울
200,당장
201,사투리
202,서울
203,여자
204,아이
205,아이
206,패드
207,도시
208,여자
209,동생
210,사투리
211,부심
212,지방
213,특징
214,서울
215,악의
216,무례
217,삼성
218,역전승
219,선발
220,이유
221,진입
222,과목
223,영역
224,논리
225,퀴즈
226,법조문
227,공부
228,조언
229,바람
230,사투리
231,만화
232,개명
233,어감
234,쓰레기
235,중국
236,몽은
237,우육
238,마라
239,국물
240,쉰내
241,고기
242,시고
243,이상
244,지적
245,장애
246,딸아이
247,아빠
248,거시
249,선생
250,제대
251,여자
252,가족
253,정의
254,정치인
255,관계인
256,딸애
257,딸애
258,지적
259,장애
260,이용
261,증언
262,묵살
263,할아버지
264,공대
265,신발
266,동양
267,인의
268,한계
269,선수
270,행복
271,성소
272,수자
273,패밀리
274,스키
275,자체
276,한국
277,소급
278,외국
279,인기
280,스키
281,이상
282,해외
283,우리나라
284,비교
285,대가리
286,제대
287,빅뱅
288,승리
289,이번
290,가람
291,질투
292,한국
293,남자
294,남자
295,조신
296,남자
297,메이크업
298,아이
299,이상
300,베이스
301,눈썹
302,자연
303,이상
304,남자
305,전문
306,상태
307,이상
308,남자
309,외모
310,관리
311,헤어
312,관리
313,급식
314,블럭
315,사람
316,이해
317,애비
318,반박
319,전날
320,미안
321,사랑
322,부성애
323,고백
324,절반
325,이상은
326,순간
327,자연
328,성형
329,부자
330,거지
331,근성
332,꼴값
333,보기
334,스타
335,연애
336,여자
337,여자
338,친구
339,생각
340,시간
341,동안
342,생각
343,한편
344,상대
345,여성
346,초반
347,이상
348,생각
349,정도
350,수용소
351,생각
352,외모
353,지상주의
354,적인
355,발언
356,어색
357,강의안
358,교시
359,기독교
360,고양이
361,내가
362,기론
363,문과
364,최고
365,직업
366,금융권
367,연봉
368,태클
369,시작
370,중국인
371,퇴치
372,부적
373,중국
374,이유
375,상상
376,여자
377,행동
378,생각
379,다음
380,대상
381,정신
382,질환
383,일본인
384,사실
385,일본
386,만큼
387,플레이
388,나라
389,나라
390,비교
391,일본
392,선녀
393,휴지
394,조각
395,기업
396,지분
397,외국인
398,우리나라
399,대기업
400,이상
401,외국인
402,소유
403,동남아
404,페이퍼
405,컴퍼니
406,조미료
407,김치찌개
408,마호가니
409,옹호
410,대표
411,마인드
412,외근
413,외지
414,출격
415,목요일
416,청송
417,아무것
418,슈퍼
419,마호가니
420,자리
421,독점
422,예정
423,당시
424,마호가니
425,음료
426,타과
427,음료
428,대생
429,거지
430,소리
431,커피
432,디저트
433,사서
434,공부
435,공대
436,거지
437,프레임
438,남자
439,전체
440,출석
441,모택동
442,개새끼
443,이민
444,기어
445,나이
446,외국
447,국적
448,유지
449,채로
450,한국
451,국적
452,회복
453,가능
454,미국
455,캐나다
456,호주
457,이민
458,노인네
459,나이
460,차면
461,건강
462,보험
463,제도
464,한국
465,국적
466,회복
467,신청
468,평생
469,나라
470,세금
471,동포
472,고향
473,건보
474,제도
475,이용
476,조국
477,한화
478,미니
479,선언
480,서울
481,서대문
482,경찰서
483,지능
484,민주
485,노총
486,공공
487,운수
488,노조
489,서울
490,지부
491,업무
492,방해죄
493,고소
494,집회
495,시위
496,법률
497,고발
498,담당
499,형사
500,배정
501,고소인
502,조사
503,예정
504,미들
505,미러
506,사용
507,백인
508,학살자
509,생각
510,아버지
511,아무것
512,여자
513,신학
514,주요한
515,교단
516,이단
517,정죄
518,상태
519,교단
520,결정
521,이단
522,주장
523,신학
524,주장
525,이단
526,정죄
527,동성애
528,경향
529,사람
530,교회
531,공존
532,문제
533,동성애
534,경향
535,사람
536,조롱
537,동성애
538,성경
539,옹호
540,태도
541,생각
542,남초
543,운사
544,공부
545,인턴
546,엑셀
547,모델링
548,동안
549,가면
550,여자
551,솔로
552,산지
553,순간
554,주지
555,육림
556,양아치
557,경영
558,대생
559,학회
560,남친
561,이랑
562,체위
563,이미지
564,대생
565,남자
566,이미지
567,공대
568,엄마
569,이성
570,유부
571,기독교
572,하나님
573,믿음
574,창세기
575,지상
576,명령
577,무시
578,하나님
579,성품
580,사랑
581,서로
582,동성애
583,반대
584,혐오
585,지랄
586,백인
587,혐오
588,불가능
589,흑인
590,혐오
591,현실
592,백인
593,강자
594,혐오
595,불가능
596,장애인
597,시위
598,최근
599,강자
600,멸시
601,사건
602,약자
603,전장
604,사실
605,말하기
606,강자
607,멸시
608,간지
609,약자
610,멸시
611,좀생이
612,우리나라
613,남녀
614,갈등
615,정신병
616,최근
617,심해
618,세계
619,이정
620,도로
621,남녀
622,갈등
623,나라
624,정신병
625,수준
626,상대방
627,프레이
628,꼬투리
629,도태
630,프레이
631,조력자
632,추천
633,화력
634,만족감
635,여자
636,성관계
637,여자
638,손해
639,글쓴이
640,주먹
641,사람
642,거랑
643,미들
644,화법
645,학습
646,악질
647,소수
648,목소리
649,혐오
650,양쪽
651,성별
652,대표
653,여자
654,감성적
655,교수님
656,가가
657,가가
658,가가
659,가가
660,인공지능
661,설명
662,경상도
663,사투리
664,농담
665,하심
666,자칭
667,인권
668,운동
669,페미니스트
670,계기
671,남자
672,인위적
673,피부
674,흑인
675,스테레오
676,타입
677,이용
678,여자
679,반대
680,인위적
681,백인
682,선호
683,우리나라
684,인종
685,차별적
686,미적
687,기준
688,이용
689,광고
690,인종
691,차별
692,성차별
693,모습
694,한데
695,치료
696,돼지고기
697,고기
698,이젠
699,냄새
700,구역질
701,남자
702,안내면
703,마이너스
704,요소
705,여자
706,기생
707,남성
708,상대
709,여성
710,페미니스트
711,사실
712,부정적
713,여성
714,상대
715,남성
716,페미니스트
717,사실
718,부정적
719,태남
720,도태
721,문구
722,도태
723,남자
724,내면
725,남자
726,코르셋
727,꾸밈
728,노동
729,하지
730,말자
731,여자
732,남초
733,개소리
734,여혐
735,주변
736,여자
737,여자
738,남자
739,여자
740,여자
741,가스
742,라이팅
743,조심
744,초반
745,여자
746,회피
747,나중
748,본인
749,스스로
750,확률
751,인터넷
752,여자
753,여자
754,설거지
755,글쓴이
756,결혼
757,마인드
758,최악
759,결혼
760,사람
761,거지
762,글쓴이
763,결혼
764,사람
765,전라도
766,전라도
767,환경
768,주위
769,환경
770,친척
771,내가
772,지지
773,갱생
774,대상
775,지역
776,감정
777,전라도
778,전라도
779,투표율
780,글쓴이
781,이해
782,안됨
783,이번
784,광주
785,민주당
786,득표율
787,대구
788,이상
789,몰표
790,대구
791,여론
792,일관성
793,주장
794,일관성
795,대구
796,광주
797,몰표
798,주장
799,무분별
800,혐오
801,음대
802,꼰대
803,정상인
804,정신병자
805,별개
806,고학
807,선배
808,조교
809,무식
810,천사
811,신안
812,사회과
813,학대
814,내가
815,사람
816,잘못
817,사람
818,시간
819,시대
820,미디어
821,한국
822,남성
823,세가
824,평균
825,리지
826,남자애
827,여자애
828,운동
829,기존
830,유지
831,급식
832,운동장
833,잔디
834,군대식
835,머리
836,여자
837,어깨
838,문화
839,생각
840,교사
841,사이코
842,김치
843,행복
844,경동
845,정신
846,여자
847,최고
848,여자
849,남자
850,최고
851,노동
852,탈진
853,여성
854,영상
855,이해
856,노동
857,탈진
858,남성
859,영상
860,여자
861,페미니스트
862,돌변
863,취직
864,여자
865,진급
866,차별
867,뒷목
868,학교
869,연세
870,한국
871,생각
872,해보
873,수여
874,본문
875,내용
876,제외
877,소리
878,게이
879,분탕
880,오피셜
881,월급
882,여자
883,에타나
884,커뮤니티
885,쪽지
886,오고
887,자존
888,여자
889,기분
890,대리
891,만족
892,이번
893,사건
894,여대
895,여자
896,중하
897,모와
898,척추
899,기립
900,발달
901,부족
902,흉추
903,접음
904,흉근
905,스트레칭
906,생각
907,중국
908,무례
909,구분
910,주장
911,고집
912,불통
913,외모
914,심각
915,장애
916,흉통
917,거랑
918,미국인
919,파이브
920,이즈
921,우리나라
922,호모
923,아들
924,게이
925,자가
926,마라
927,중공
928,사람
929,양반
930,부하
931,여직원
932,무엇
933,딴소리
934,성적
935,흥분
936,자체
937,결국
938,수능
939,전날
940,깐풍기
941,다음
942,깐풍기
943,고추
944,배탈
945,정시
946,원서
947,배치
948,모습
949,외모
950,공대
951,안경
952,신안
953,성별
954,신안
955,송도
956,양말
957,이유
958,숙주
959,게시물
960,소변
961,드림
962,작가
963,네이버
964,대부분
965,공무원
966,시다
967,바리
968,쓰레기
969,단순
970,반복
971,업무
972,처리
973,차이
974,당선
975,공약
976,여가
977,폐지
978,군인
979,월급
980,당선
981,예수
982,사탄
983,내가
984,꼰대
985,식스센스
986,주가
987,재석
988,오빠
989,제가
990,이번
991,생리
992,가슴
993,바디
994,파이브
995,지가
996,재석
997,하자
998,게스트
999,급식
1000,사진
1001,올리고
1002,섹스
1003,문제
1004,원래
1005,남자
1006,섹스
1007,감탄사
1008,사람
1009,비정상
1010,진명
1011,여고
1012,여학생
1013,잘못
1014,사람
1015,수준
1016,시대
1017,위문
1018,편지
1019,진명
1020,여고
1021,유사
1022,객관적
1023,본인
1024,행동
1025,아래
1026,세대
1027,후배
1028,우리나라
1029,미래
1030,저리
1031,헛짓
1032,성별
1033,갈등
1034,잘못
1035,성별
1036,프레임
1037,남자
1038,용어
1039,실드
1040,도피처
1041,국어
1042,재능
1043,얘기
1044,일반적
1045,난이도
1046,소리
1047,대학인
1048,노력
1049,인식
1050,노력
1051,스쿨
1052,재능
1053,준비
1054,세대
1055,남자
1056,가능
1057,튜브
1058,연애
1059,참견
1060,사랑과
1061,전쟁
1062,막장
1063,관계
1064,영상
1065,엄마
1066,남자
1067,친구
1068,한국
1069,남자
1070,쓰레기
1071,한남
1072,한국
1073,남자
1074,한남
1075,남자
1076,친구
1077,엄마
1078,남자
1079,행복
1080,말씀
1081,완전
1082,보시기
1083,여자
1084,성형외과
1085,공장
1086,나라
1087,공장
1088,여자
1089,아이러니
1090,남자
1091,와인
1092,사람
1093,명도
1094,와인
1095,보통
1096,남자
1097,와인
1098,사람
1099,대부분
1100,머리
1101,또래
1102,수준
1103,정도
1104,벌이
1105,사람
1106,예비
1107,내정
1108,후자
1109,자신
1110,젊음
1111,번화가
1112,여자
1113,도서관
1114,사용
1115,상당
1116,피해
1117,의식
1118,소수
1119,현상
1120,마음
1121,결론
1122,남자
1123,와인
1124,대부분
1125,막걸리
1126,여자
1127,센스
1128,호감
1129,정도
1130,외모
1131,정도
1132,자기
1133,관리
1134,결여
1135,외적
1136,능력
1137,지뢰
1138,설치
1139,나중
1140,여자
1141,친구
1142,남자
1143,결혼
1144,여자
1145,여권
1146,운동
1147,남자
1148,윤리
1149,도덕
1150,퇴폐
1151,문화
1152,척결
1153,운동
1154,여자
1155,남자
1156,한데
1157,학식
1158,후기
1159,여자
1160,친구
1161,한번
1162,여자
1163,나이
1164,능력
1165,남자
1166,결혼
1167,아이
1168,여자
1169,남자
1170,난리
1171,부르스
1172,상관
1173,남자
1174,사회
1175,근대
1176,시대
1177,백인
1178,여성
1179,흑인
1180,남성
1181,여자
1182,결혼
1183,여자
1184,순간
1185,이상
1186,쭉정이
1187,다도
1188,미혼
1189,아줌마
1190,말년
1191,여자
1192,해병
1193,대가면
1194,쓰레기
1195,가나
1196,학교
1197,커뮤니티
1198,거리
1199,대추나무
1200,기혼
1201,여자
1202,불편
1203,경력
1204,단절
1205,순위
1206,페미니즘
1207,문제
1208,하나
1209,인간
1210,이상적
1211,직장
1212,생활
1213,여성
1214,안중
1215,여성
1216,존재
1217,가부
1218,장제
1219,세뇌
1220,여성
1221,기혼
1222,여성
1223,퍼센트
1224,남편
1225,경제력
1226,필요성
1227,남자
1228,수가
1229,학번
1230,흑사병
1231,동안
1232,서울
1233,구경
1234,여자
1235,건설
1236,노동
1237,중단
1238,이유
1239,고추
1240,장아찌
1241,생강
1242,모어
1243,시간표
1244,잔디
1245,학벌
1246,주의
1247,성적
1248,주의
1249,사회
1250,조장
1251,풍조
1252,슬로건
1253,검찰
1254,지망생
1255,나부랭이
1256,밥그릇
1257,안간힘
1258,공부
1259,의무
1260,심리
1261,클래스
1262,세후
1263,커리어
